frequency,monetary,last_order_date,recency,review_score,cluster
1,45.78,2018-06-29 12:10:47,110,5.0,0
1,87.64,2018-02-20 17:23:36,239,3.0,0
1,525.61,2017-04-20 13:47:11,545,5.0,1
1,43.14,2017-11-17 00:08:29,334,1.0,2
1,160.57000000000002,2017-10-26 13:25:03,356,3.0,0
1,35.0,2018-01-26 23:08:56,263,5.0,0
1,128.08,2017-11-21 12:27:02,330,3.0,0
1,188.41,2018-07-29 23:34:51,79,5.0,0
1,92.72999999999999,2018-08-07 00:20:34,71,2.0,2
1,106.21000000000001,2018-02-04 19:46:01,254,5.0,0
1,34.8,2018-01-11 20:33:22,278,5.0,0
1,48.69,2017-08-27 19:30:59,415,1.0,2
1,92.57,2017-10-31 12:58:38,351,4.0,0
1,68.43,2018-08-22 14:18:49,56,5.0,0
1,188.34,2017-12-04 16:26:31,317,5.0,0
1,159.13,2017-03-15 19:42:03,580,5.0,4
1,60.86,2016-10-08 04:01:53,739,5.0,4
1,30.060000000000002,2018-07-24 01:02:45,85,5.0,0
1,36.68,2017-07-20 18:56:25,453,5.0,4
1,27.77,2017-07-20 22:18:41,453,5.0,4
1,174.33,2017-07-20 11:33:01,454,4.0,4
1,257.94,2018-04-30 14:20:33,170,5.0,0
1,61.589999999999996,2018-01-12 13:57:13,278,5.0,0
1,184.77,2017-07-19 17:46:36,454,5.0,4
1,25.67,2018-03-26 11:11:06,205,5.0,0
1,99.44,2017-10-13 11:46:19,369,3.0,0
1,127.63,2017-08-30 01:51:30,413,4.0,0
1,82.33000000000001,2018-04-01 20:29:00,198,5.0,0
1,91.21000000000001,2018-06-20 18:33:57,118,5.0,0
1,122.98,2017-12-18 21:18:08,302,5.0,0
1,339.37,2017-08-30 12:35:15,413,2.0,2
1,91.6,2017-03-27 21:56:21,568,5.0,4
1,192.61,2017-12-05 20:47:52,315,3.0,0
1,51.0,2017-05-10 09:42:14,525,4.0,4
1,98.25999999999999,2018-01-21 09:03:17,269,5.0,0
1,75.36,2017-10-05 13:56:51,377,5.0,0
1,124.18,2017-03-18 22:02:18,577,4.0,4
1,101.61999999999999,2018-01-26 14:26:58,264,4.0,0
1,154.3,2017-05-09 09:22:58,526,5.0,4
1,42.69,2018-01-02 21:19:25,287,5.0,0
1,98.18,2017-07-26 17:36:36,447,1.0,2
1,66.6,2017-10-05 14:43:43,377,2.0,2
1,162.65,2017-11-19 13:57:09,332,5.0,0
1,48.63,2018-03-11 21:33:18,219,5.0,0
1,66.63,2018-01-29 19:33:28,260,3.0,0
1,195.91,2017-08-31 19:28:56,411,5.0,4
1,0.0,2017-03-15 13:20:25,581,1.0,2
1,48.08,2018-03-03 17:46:08,227,5.0,0
1,136.05,2017-05-09 23:48:07,525,4.0,4
1,375.3,2017-12-14 16:22:20,307,1.0,2
1,319.05,2018-04-09 14:12:16,191,5.0,0
1,217.06,2018-04-11 17:10:09,189,5.0,0
1,66.73,2017-11-21 15:19:25,330,5.0,0
1,32.43,2018-07-20 02:27:56,89,4.0,0
1,139.69,2017-01-23 13:55:30,632,5.0,4
1,31.189999999999998,2018-01-09 23:01:33,280,5.0,0
1,532.77,2017-07-14 14:20:03,460,5.0,1
1,76.66,2017-12-08 22:16:35,312,5.0,0
1,58.79,2018-02-20 18:49:15,238,5.0,0
1,153.99,2017-07-26 13:39:14,448,1.0,2
1,32.47,2017-05-24 23:23:56,510,5.0,4
1,61.89,2017-09-11 15:15:42,401,5.0,0
1,80.10000000000001,2017-06-27 11:54:38,477,1.0,2
1,232.19,2018-08-13 08:53:29,65,5.0,0
1,196.92000000000002,2017-06-08 13:59:17,496,5.0,4
